country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-10,0.7958489236702091,0.8972058659859127,0.6944919813545055,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-11,0.788372444898631,0.88791869704365,0.688826192753612,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-12,0.7843907624167666,0.8780205205460535,0.6907610042874798,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-13,0.785822041229139,0.8714802272009354,0.7001638552573426,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-14,0.7914101510504741,0.8685342455198499,0.7142860565810982,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-15,0.7978537137426938,0.8672097593811191,0.7284976681042684,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-16,0.8013174662518423,0.8677051227167186,0.734929809786966,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-17,0.798805838599892,0.8701802327595203,0.7274314444402636,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-18,0.790170261368803,0.8711106642790216,0.7092298584585843,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-19,0.7792096532145125,0.8693038565864332,0.6891154498425919,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-20,0.7699935443348723,0.8670155516652527,0.672971537004492,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-21,0.7638490963281412,0.8646199779989338,0.6630782146573487,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-22,0.7587234892292605,0.8588501224846438,0.6585968559738772,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-23,0.7527571612002577,0.8478601018132851,0.6576542205872303,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-24,0.7469129808380714,0.8344044165255167,0.6594215451506262,ITA
